Date,Open,High,Low,Close
04/01/2021 01:25:00,33296.66918,33356.4482,33251.46753,33301.15349
04/01/2021 01:30:00,33301.88375,33362.82005,33258.14956,33306.52214
04/01/2021 01:35:00,33305.422,33367.4273,33260.70937,33311.74784
04/01/2021 01:40:00,33309.94157,33373.37453,33265.31341,33313.53356
04/01/2021 01:45:00,33309.5906,33368.35227,33267.02023,33313.21555
04/01/2021 01:50:00,33306.37504,33369.34239,33266.11045,33314.70939
04/01/2021 01:55:00,33301.51901,33370.48112,33257.72677,33312.10822
04/01/2021 02:00:00,33293.00043,33354.74991,33252.11102,33300.01859
04/01/2021 02:05:00,33287.07953,33345.23494,33243.57519,33292.15879
04/01/2021 02:10:00,33276.58643,33338.17093,33232.95511,33279.91511
04/01/2021 02:15:00,33276.39953,33336.55379,33233.76899,33279.0116
04/01/2021 02:20:00,33282.14895,33346.06526,33237.47051,33287.5846
04/01/2021 02:25:00,33288.22885,33344.46405,33244.49441,33292.65163
04/01/2021 02:30:00,33292.41613,33355.85876,33250.52305,33299.9865
04/01/2021 02:35:00,33285.68198,33348.52735,33241.13299,33292.36889
04/01/2021 02:40:00,33285.36919,33345.71266,33238.40209,33289.74724
04/01/2021 02:45:00,33282.34137,33346.32748,33236.49828,33286.39487
04/01/2021 02:50:00,33276.61357,33338.46828,33235.447,33281.36228
04/01/2021 02:55:00,33282.15364,33349.5142,33237.14617,33290.80375
04/01/2021 03:00:00,33294.01721,33350.70154,33250.46146,33299.02597
04/01/2021 03:05:00,33285.4888,33345.97298,33244.5978,33290.56942
04/01/2021 03:10:00,33351.8106,33406.52084,33303.33908,33354.39921
04/01/2021 03:15:00,33389.88636,33451.68132,33346.40532,33397.88914
04/01/2021 03:20:00,33414.93334,33475.71029,33367.79386,33418.99521
04/01/2021 03:25:00,33438.65233,33498.52943,33394.67558,33442.63525
04/01/2021 03:30:00,33414.96555,33472.05819,33371.36314,33418.50509
04/05/2021 09:15:00,33385.38251,33448.13263,33339.57021,33389.59268
04/05/2021 09:20:00,33367.70956,33428.81447,33322.84745,33371.54264
04/05/2021 09:25:00,33356.30303,33413.67797,33314.38078,33360.23774
04/05/2021 09:30:00,33352.33072,33409.99203,33309.82652,33355.38201
04/05/2021 09:35:00,33356.48533,33414.49335,33316.13166,33358.86352
04/05/2021 09:40:00,33366.14318,33424.74492,33320.93893,33368.58184
04/05/2021 09:45:00,33370.01894,33432.88181,33325.72488,33379.1743
04/05/2021 09:50:00,33374.073,33439.60824,33332.65434,33382.27043
04/05/2021 09:55:00,33375.07753,33437.1037,33333.34775,33380.7827
04/05/2021 10:00:00,33378.56263,33438.88894,33334.04464,33385.40477
04/05/2021 10:05:00,33377.25513,33438.78157,33332.77405,33384.20236
04/05/2021 10:10:00,33367.55055,33432.87686,33323.68808,33376.59577
04/05/2021 10:15:00,33352.7176,33412.13421,33308.35508,33355.70508
04/05/2021 10:20:00,33326.6881,33383.43772,33283.19138,33328.47343
04/05/2021 10:25:00,33291.35496,33354.34702,33248.81321,33295.41517
04/05/2021 10:30:00,33261.46322,33324.61582,33219.16433,33266.4965
04/05/2021 10:35:00,33244.25072,33302.55636,33199.02777,33243.84168
04/05/2021 10:40:00,33236.7375,33296.05649,33194.01463,33240.1346
04/05/2021 10:45:00,33249.87932,33308.29669,33203.71295,33253.34546
04/05/2021 10:50:00,33253.4429,33314.91513,33210.33253,33258.16705
04/05/2021 10:55:00,33261.19027,33320.61935,33213.50361,33264.54894
04/05/2021 11:00:00,33257.77027,33317.29073,33210.51444,33259.48161
04/05/2021 11:05:00,33255.3319,33315.88133,33209.99243,33259.4986
04/05/2021 11:10:00,33254.21607,33313.97553,33208.39148,33257.08969
04/05/2021 11:15:00,33257.02606,33315.54405,33211.36619,33259.50864
04/05/2021 11:20:00,33259.74532,33320.30157,33212.77148,33264.49056
04/05/2021 11:25:00,33273.11116,33335.59514,33228.8992,33279.36276
04/05/2021 11:30:00,33284.4513,33343.16149,33239.54765,33292.03524
04/05/2021 11:35:00,33291.93276,33354.70335,33247.42546,33299.07921
04/05/2021 11:40:00,33314.48761,33376.09282,33265.6586,33317.16837
04/05/2021 11:45:00,33316.89574,33378.08008,33275.34981,33323.15326
04/05/2021 11:50:00,33317.5375,33380.43907,33271.59537,33321.13139
04/05/2021 11:55:00,33306.56187,33369.02775,33263.67953,33315.45499
04/05/2021 12:00:00,33298.52733,33361.58081,33256.53662,33306.84076
04/05/2021 12:05:00,33289.03945,33348.87515,33247.78465,33293.41407
04/05/2021 12:10:00,33285.61484,33347.07596,33240.42861,33293.35637
04/05/2021 12:15:00,33294.54587,33354.39571,33251.93259,33297.6482
04/05/2021 12:20:00,33287.25328,33345.99873,33242.31279,33287.71087
04/05/2021 12:25:00,33296.26384,33353.34432,33249.09944,33299.49827
04/05/2021 12:30:00,33301.46616,33360.72625,33257.19727,33305.53806
04/05/2021 12:35:00,33324.66496,33384.16341,33276.9272,33328.85918
04/05/2021 12:40:00,33353.34606,33415.43021,33310.29327,33353.81235
04/05/2021 12:45:00,33385.93703,33449.09646,33343.99426,33387.20983
04/05/2021 12:50:00,33418.54931,33482.20581,33377.07279,33420.63171
04/05/2021 12:55:00,33454.87836,33521.0856,33414.44654,33458.148
04/05/2021 01:00:00,33478.36546,33543.15024,33438.25919,33481.98621
04/05/2021 01:05:00,33490.81508,33554.81243,33449.32949,33496.40635
04/05/2021 01:10:00,33500.93996,33565.33727,33458.23564,33508.91276
04/05/2021 01:15:00,33505.57733,33566.03713,33464.21807,33509.62725
04/05/2021 01:20:00,33506.76242,33569.02595,33465.06774,33512.74936
04/05/2021 01:25:00,33500.18463,33562.51633,33459.52254,33504.04276
04/05/2021 01:30:00,33496.96916,33556.52924,33452.99499,33501.24259
04/05/2021 01:35:00,33493.60942,33550.12775,33452.74925,33496.35741
04/05/2021 01:40:00,33502.9327,33567.48372,33459.88327,33508.1066
04/05/2021 01:45:00,33547.53551,33609.39012,33506.94252,33547.3007
04/05/2021 01:50:00,33614.44857,33679.25619,33575.82437,33615.75263
04/05/2021 01:55:00,33690.10681,33754.42961,33653.59404,33689.99635
04/05/2021 02:00:00,33744.53994,33810.03263,33707.82502,33748.07385
04/05/2021 02:05:00,33781.0977,33844.09865,33744.15947,33785.1498
04/05/2021 02:10:00,33803.40085,33868.58073,33765.96855,33807.22931
04/05/2021 02:15:00,33792.93451,33857.96422,33759.61774,33800.37671
04/05/2021 02:20:00,33785.97974,33850.38613,33748.73677,33792.53375
04/05/2021 02:25:00,33779.10073,33842.04814,33743.4564,33784.16895
04/05/2021 02:30:00,33762.55714,33829.45595,33724.96701,33769.81278
04/05/2021 02:35:00,33752.65394,33817.71054,33713.40754,33758.43061
04/05/2021 02:40:00,33751.11107,33815.50991,33714.2467,33756.55268
04/05/2021 02:45:00,33765.01971,33831.05015,33726.70111,33769.73167
04/05/2021 02:50:00,33806.07618,33874.3011,33772.41225,33809.12393
04/05/2021 02:55:00,33834.92369,33903.65356,33800.91897,33839.74783
04/05/2021 03:00:00,33863.06321,33928.90333,33828.08925,33867.91765
04/05/2021 03:05:00,33867.55314,33927.80324,33832.76314,33868.62648
